store_id,link_food,store_food,star,review,price
strJ000105584,https://www.hotpepper.jp/strJ000105584/,海鮮居酒屋 近江町食堂,4.4,765.0,3500.5
strJ001266729,https://www.hotpepper.jp/strJ001266729/,Da TAKE(ダ・タケ)　駅西店【金沢　イタリアン】,4.2,701.0,4500.5
strJ001260539,https://www.hotpepper.jp/strJ001260539/,金沢餃子酒場　金沢駅前店,4.3,191.0,3500.5
strJ003672365,https://www.hotpepper.jp/strJ003672365/,全席完全個室居酒屋　北陸の海鮮とお肉　和ノ音-wanone-金沢駅前店,3.7,211.0,3500.5
strJ001117707,https://www.hotpepper.jp/strJ001117707/,個室居酒屋　つぼ八　金沢駅前店,3.9,159.0,3500.5
strJ000032030,https://www.hotpepper.jp/strJ000032030/,吟の小判　金沢駅前,4.2,131.0,4500.5
strJ000980213,https://www.hotpepper.jp/strJ000980213/,居酒屋　はち丸　金沢駅前店,4.2,126.0,4500.5
strJ001239177,https://www.hotpepper.jp/strJ001239177/,完全個室完備 四季彩－SHIKISAI－金沢駅前店,3.5,168.0,3500.5
strJ003672366,https://www.hotpepper.jp/strJ003672366/,全席完全個室居酒屋 焼き鳥 北陸の海鮮 飲み放題 縁や 金沢駅前店,3.8,82.0,3500.5
strJ001050288,https://www.hotpepper.jp/strJ001050288/,くいもの屋　わん　金沢駅前店,3.9,179.0,3500.5
strJ004577316,https://www.hotpepper.jp/strJ004577316/,個室居酒屋 日本酒飲み放題と海鮮 トロ壱 金沢駅前店,3.3,40.0,3500.5
strJ004577315,https://www.hotpepper.jp/strJ004577315/,【5/1 OPEN】居酒屋革命 酔っ手羽 金沢駅前店,3.8,37.0,2500.5
strJ000972377,https://www.hotpepper.jp/strJ000972377/,バイキングレストラン　ラ・ベランダ,4.3,605.0,3500.5
strJ001192582,https://www.hotpepper.jp/strJ001192582/,蔵の間　離れ　金沢駅前店,2.4,140.0,3500.5
strJ001145127,https://www.hotpepper.jp/strJ001145127/,居酒屋はち丸別館　（金沢駅前別館）,4.1,169.0,4500.5
strJ003450900,https://www.hotpepper.jp/strJ003450900/,能登牛認定店 焼肉　肉割烹　万福　金沢駅　宴会,4.7,253.0,4500.5
strJ001232273,https://www.hotpepper.jp/strJ001232273/,焼肉いちぼ　金沢駅前店,4.5,254.0,3500.5
strJ003916925,https://www.hotpepper.jp/strJ003916925/,能登牛と金沢おでん　金沢風土研究所（かなざわふうどけんきゅうじょ）,4.5,41.0,4500.5
strJ000759331,https://www.hotpepper.jp/strJ000759331/,旬彩和食　口福,4.3,409.0,5500.5
strJ001000794,https://www.hotpepper.jp/strJ001000794/,居酒屋　いたちゃん。　金沢駅前本店,4.5,167.0,4500.5
strJ003917198,https://www.hotpepper.jp/strJ003917198/,焼肉ホルモン誠　金沢駅前店,4.8,74.0,4500.5
strJ001266228,https://www.hotpepper.jp/strJ001266228/,金沢おでんと炭火焼鳥 個室居酒屋がっぱ　金沢駅前店,4.4,155.0,4500.5
strJ001179255,https://www.hotpepper.jp/strJ001179255/,博多もつ鍋 馬肉 九州自慢 金沢駅前店,4.3,163.0,3500.5
strJ003829673,https://www.hotpepper.jp/strJ003829673/,炉端と金沢おでん　呼炉凪来(ころなぎらい)金沢駅前店,4.2,402.0,2500.5
strJ004612892,https://www.hotpepper.jp/strJ004612892/,【6/1 OPEN】【焼き鳥・個室あり】炭火野菜巻き串と餃子 博多うずまき 金沢駅前店,3.8,32.0,3500.5
strJ004591794,https://www.hotpepper.jp/strJ004591794/,漁師飯居酒屋　GOEN（ごえん）　金沢駅前,4.3,7.0,4500.5
strJ004492842,https://www.hotpepper.jp/strJ004492842/,焼肉喜緑　金沢 近江町,4.6,15.0,4500.5
strJ001170883,https://www.hotpepper.jp/strJ001170883/,鹿児島県霧島市　塚田農場　金沢駅西口店,4.2,276.0,3500.5
strJ003533170,https://www.hotpepper.jp/strJ003533170/,焼肉ホルモントリコ　金沢駅前店,4.6,120.0,3500.5
strJ001269523,https://www.hotpepper.jp/strJ001269523/,大衆バル サルーテ本町　金沢駅前店,3.9,34.0,3500.5
strJ001145178,https://www.hotpepper.jp/strJ001145178/,焼き鳥とラーメン五鉄,3.7,26.0,4500.5
strJ003716130,https://www.hotpepper.jp/strJ003716130/,天婦羅と地酒 金沢彩旬 －JAPANESE CUISINE－,3.9,42.0,4500.5
strJ001226689,https://www.hotpepper.jp/strJ001226689/,十三　(じゅうぞう),4.3,116.0,3500.5
strJ003624528,https://www.hotpepper.jp/strJ003624528/,串天ぷらスタンド　ソル兵衛　別院通り店（金沢駅前）,4.2,25.0,4500.5
strJ004403783,https://www.hotpepper.jp/strJ004403783/,東山　鳥肌,4.7,16.0,5500.5
strJ001110100,https://www.hotpepper.jp/strJ001110100/,旨い魚と野菜の金澤じわもん料理　波の花　（なみのはな）,4.2,59.0,5500.5
strJ004577250,https://www.hotpepper.jp/strJ004577250/,【4/27 OPEN】くずし割烹ぼんた金沢駅前店,4.3,7.0,5500.5
